symbol,quote_volume_24h,trade_count,volatility_pct,score
PLAYUSDT,105845548.80565,1325307,53.815,14043.782969472284
NOMUSDT,424564020.694436,3400825,46.246,13847.43882949663
STOUSDT,92526015.18424,1534133,36.303,9510.942545238491
ONUSDT,215924428.38138,3552354,32.695,9492.569163822685
PTBUSDT,179745567.653921,2392066,30.029,8411.091546423979
4USDT,42679323.312707,748276,22.465,5362.189894489167
COLLECTUSDT,16843055.2028,341130,18.779,4002.101505719594
AIAUSDT,9595207.58739,188824,18.003,3535.695367885955
TRIAUSDT,21820814.78549,397262,13.617,2988.3832570171608
HEMIUSDT,19415279.600781,385577,12.338,2684.7788132169526
1000RATSUSDT,10421789.34033,321554,12.993,2682.968321328942
ARCUSDT,39875269.06579,572998,11.385,2665.013669095101
BSBUSDT,58626524.17407,1972009,9.997,2617.747045830425
BLUAIUSDT,18395267.721327,802748,10.93,2508.4990119709987
SANTOSUSDT,6950753.9741,77284,13.903,2483.0028529072333
GOATUSDT,5568790.85347,72680,13.645,2389.848051700961
RIVERUSDT,346960871.0765,4318976,7.749,2358.216638672311
BIRBUSDT,8839724.9928,142316,12.293,2352.0785503026814
我踏马来了USDT,10701451.341365,185239,11.83,2342.160300348435
PARTIUSDT,15833820.52229,524119,9.994,2203.7127745818816
CHZUSDT,77834747.81187,549621,8.311,2019.9347777791377
BEATUSDT,38041994.1111,989197,7.947,1938.9176909188725
RESOLVUSDT,9160480.43083,184601,9.809,1926.1516449429118
ONTUSDT,212178898.6388,571853,7.39,1903.723926261469
CUSDT,71473297.60043,1116681,6.893,1761.1667447263906
KITEUSDT,52063311.14416,1045120,6.949,1735.8708072584454
UBUSDT,8321142.69911,220859,8.47,1680.3731746614276
ANKRUSDT,23439770.485735,296909,7.09,1537.5196791013605
PROVEUSDT,9778637.5261,143651,7.897,1528.5382859341466
DEGOUSDT,7137279.70996,119720,7.892,1474.7167300129008
QUSDT,36057163.488736,712766,5.766,1375.6153331835087
CCUSDT,10818564.56683,239894,6.731,1370.6055539452198
BTRUSDT,7782878.3504,179451,6.665,1298.6019834556255
KATUSDT,66234570.52288,595547,5.272,1286.4120555910633
BANANAS31USDT,14682347.590116,432522,5.826,1269.082135817443
GUNUSDT,9137910.38297,136712,6.465,1244.3344418015556
JCTUSDT,9421331.180569,215089,6.009,1204.5673629027037
B3USDT,15101325.4306949,310863,5.357,1140.8428648196668
LYNUSDT,23113059.23836,565017,4.944,1132.7534851018559
OPNUSDT,11320700.9826,147393,5.671,1115.5086217332946
CYSUSDT,15871437.6345,424329,4.754,1042.874487520163
POWERUSDT,11740801.51049,329042,4.76,1005.0585574735794
VVVUSDT,18073717.43307,294787,4.458,959.2108180155354
GIGGLEUSDT,8237664.1829,101916,5.108,956.3805654823444
BASUSDT,17023669.231966,441028,4.313,954.9701780239616
龙虾USDT,5779691.202988,146195,4.928,931.023385012765
MYXUSDT,6298126.4353,108650,4.292,797.3350978169398
JTOUSDT,6939900.4772,107777,4.212,787.1156139729874
MONUSDT,20065617.05161,178188,3.509,733.701096854133
DUSKUSDT,9455040.69021,228174,3.417,696.9693796651618
ROBOUSDT,15864046.34338,175517,3.343,689.3109655652706
SUIUSDT,133349240.68725,496345,2.709,689.2226358964605
LIGHTUSDT,5402716.1198,86815,3.764,681.1706446507799
GALAUSDT,29490327.83688,71958,3.436,680.1760286353109
IPUSDT,8064357.79382,120777,3.474,665.0923478251619
ZROUSDT,13809644.60624,273033,3.1,658.5479937826196
PIXELUSDT,21698679.108462,411193,2.883,651.3968143947363
BARDUSDT,45806386.6208,616992,2.669,651.2311796904958
KNCUSDT,10346511.5889,126942,3.211,628.4675389433328
SUPERUSDT,5300786.6247,61146,3.571,626.4294727869056
DOTUSDT,82809360.829,192115,2.686,617.958453909803
MANTRAUSDT,5726693.45696,60793,3.445,607.6285308299812
TURBOUSDT,16692169.285542,342585,2.753,604.6736112616138
FETUSDT,74890093.7185,444590,2.414,592.7985473184713
ARIAUSDT,78019110.90137,2295744,2.088,582.3673450360363
WLDUSDT,110745681.4293,530604,2.24,571.3405977026878
ONGUSDT,8155042.63848,155664,2.873,565.6458718081643
TRUMPUSDT,33422564.60372,157622,2.609,561.6890474467102
VANAUSDT,16966482.73812,130461,2.764,561.5712972538
BERAUSDT,9611173.57584,131615,2.819,553.2289863829768
SAHARAUSDT,21393301.94346,201579,2.575,551.4622002048363
PENDLEUSDT,5202247.5387,111793,2.929,544.513985966266
TAOUSDT,368647277.57,1510870,1.818,538.2985440449362
APTUSDT,24971115.314,279217,2.318,516.4664665709304
DEXEUSDT,6115206.2009,133017,2.657,508.2879759402644
FILUSDT,69609292.87,183328,2.174,497.6661138961606
ZECUSDT,193217844.0,846642,1.793,492.9644886435998
OPENUSDT,6104250.1323,77040,2.671,487.16474545533265
SEIUSDT,9023362.61557,107407,2.51,484.227558636072
OPUSDT,19448394.49572,96063,2.39,479.4511269813397
SIRENUSDT,994535883.23984,14689626,1.254,462.93047147975335
RENDERUSDT,17623522.762,110435,2.23,451.4292382922213
TRADOORUSDT,13567048.462,191243,2.122,443.79338777375193
INJUSDT,11687191.4247,78106,2.287,437.6331618895618
TRXUSDT,55171294.19264,289425,1.844,435.7923859621055
KAVAUSDT,5852552.2247,42974,2.495,431.3895423368991
STEEMUSDT,12484993.93954,200519,2.045,427.9063069244144
SOLUSDT,1211395789.9968,1145604,1.33,417.2668281560966
AXSUSDT,20038867.161,127170,1.983,411.62203808889416
TIAUSDT,11256861.2389,96030,2.108,411.28839268579736
DYDXUSDT,12418568.2,46413,2.128,391.0634825797047
EIGENUSDT,5511439.64711,86729,2.082,385.11772387984405
EDGEUSDT,6711436.0337,167723,1.878,374.0489807775998
ADAUSDT,136062669.5806,306412,1.45,366.71901385617457
ATOMUSDT,9686658.334,68790,1.895,357.4682641474542
XPLUSDT,17357400.6134,89072,1.778,356.79399756009065
ETCUSDT,14076998.326,123676,1.741,355.31515911488583
ENAUSDT,106060535.6957,202892,1.416,342.35488730819947
AAVEUSDT,40446365.52,293664,1.39,328.5798662587254
PHAUSDT,6090987.54875,111651,1.707,328.11588312481183
